kategori,Guvenli/Tehlikeli
Tek Oyunculu                          ,Güvenli
Aksiyon                               ,Güvenli
Macera                                ,Güvenli
Simülasyon                            ,Güvenli
Bağımsız                              ,Güvenli
Bulmaca                               ,Güvenli
Strateji                              ,Güvenli
Basit Eğlence                         ,Güvenli
Action                                ,Güvenli
RYO                                   ,Güvenli
Kumanda Desteği                       ,Güvenli
Arcade                                ,Güvenli
Adventure                             ,Güvenli
Bulut Kayıtları                       ,Güvenli
Atmosferik                            ,Güvenli
Birinci Şahıs                         ,Güvenli
Eşli                                  ,Güvenli
Keşif                                 ,Güvenli
2D                                     ,Güvenli
Günlük                                 ,Güvenli
3D                                     ,Güvenli
Çok Oyunculu                           ,Güvenli
Basit                                  ,Güvenli
Role-Playing                           ,Güvenli
Spor                                   ,Güvenli
Açık Dünya                             ,Güvenli
Renkli                                 ,Güvenli
Zengin Hikâye                          ,Güvenli
Sevimli                                ,Güvenli
Yarış                                  ,Güvenli
Platform                               ,Güvenli
Hayatta Kalma                          ,Güvenli
Rahatlatıcı                            ,Güvenli
Online Multiplayer                     ,Güvenli
Rol Yapma Oyunları                     ,Güvenli
Fantezi                                ,Güvenli
Gerçekçi                               ,Güvenli
Yönetim                                ,Güvenli
Rogue-lite                             ,Güvenli
Aile Dostu                             ,Güvenli
Aksiyon-Macera                         ,Güvenli
Aksiyon Macera                         ,Güvenli
Komik                                  ,Güvenli
Piksel Grafikler                       ,Güvenli
Sandbox                                ,Güvenli
Retro                                  ,Güvenli
Üçüncü Şahıs                           ,Güvenli
Yerel Çok Oyunculu                     ,Güvenli
İnşa Etme                              ,Güvenli
Stilize                                ,Güvenli
Kontrolcü                              ,Güvenli
Aile                                   ,Güvenli
Çevrimiçi Eşli Oyun                    ,Güvenli
Fizik Tabanlı                          ,Güvenli
Kaynak Yönetimi                        ,Güvenli
Sürüş/Yarış                            ,Güvenli
Komedi                                 ,Güvenli
Şehir Kurma                            ,Güvenli
Rogue-like                             ,Güvenli
Erken Erişim                           ,Güvenli
Point & Click                          ,Güvenli
Üstten Görünüş                         ,Güvenli
Çapraz Platform                        ,Güvenli
Kadın Karakter                         ,Güvenli
Bilim Kurgu                            ,Güvenli
Aksiyon RYO                            ,Güvenli
Önemli Seçimler                        ,Güvenli
Sürükleyici Simülasyon                 ,Güvenli
Aksiyon Roguelike                      ,Güvenli
Simulation                             ,Güvenli
Üretim                                 ,Güvenli
Ekonomi                                ,Güvenli
Gizlilik                               ,Güvenli
Taktiksel                              ,Güvenli
Karakter Kişiselleştirme               ,Güvenli
Minimalist                             ,Güvenli
Strategy                               ,Güvenli
Anime                                  ,Güvenli
Elle Çizilmiş                          ,Güvenli
3D Platform                            ,Güvenli
Çizgi Filmvari                         ,Güvenli
PvE                                    ,Güvenli
Tekrar Oynanabilir                     ,Güvenli
Üs İnşa Etme                           ,Güvenli
Kart Oyunu                             ,Güvenli
Uzay                                   ,Güvenli
Mantık                                 ,Güvenli
PvP                                    ,Güvenli
Harika Müzik                           ,Güvenli
Benzersiz                              ,Güvenli
Simülatör                              ,Güvenli
Araç Kullanma                          ,Güvenli
Hack and Slash                         ,Güvenli
Prosedürel Oluşturma                   ,Güvenli
Sıra Tabanlı Strateji                  ,Güvenli
Gizli Nesne                            ,Güvenli
Yaşam Simülatörü                       ,Güvenli
Görsel Roman                           ,Güvenli
Side Scroller                          ,Güvenli
Eski Usul                              ,Güvenli
Puzzle                                 ,Güvenli
2D Platform                            ,Güvenli
Birden Fazla Son                       ,Güvenli
Lineer                                 ,Güvenli
