oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,tur_adi,URL
Words of Wonders: Kelime Oyunu,"4,8",0,3,16 Mayıs 2026,"Kelime, Arama",https://play.google.com/store/apps/details?id=com.fugo.wow
Traffic Rider,"4,6",0,3,18 Mayıs 2026,"Yarış, Bisiklet yarışı",https://play.google.com/store/apps/details?id=com.skgames.trafficrider
Critical Strike CS: Online FPS,"4,6",0,16,19 Nisan 2026,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.critical.strike2
MentalUP Eğitici Zeka Oyunları,"4,4",0,3,16 Nisan 2026,"Bulmaca, Zeka oyunu, Zeka eğitimi, Basit",https://play.google.com/store/apps/details?id=com.ayasis.mentalup
Drift Max Pro - Araba Yarışı,"4,7",0,3,21 Mayıs 2026,"Yarış, Çarpışan araba, Drift",https://play.google.com/store/apps/details?id=com.tiramisu.driftmax2
TRT İbi: Matematik Yolculuğu,"3,8",0,3,28 Şubat 2026,"Eğitim, Matematik, Basit",https://play.google.com/store/apps/details?id=com.trtcocuk.ibi
Cafeland - Restoran Oyunu,"4,5",0,3,9 Mart 2026,"Simülasyon, Yönetim, Restoran",https://play.google.com/store/apps/details?id=com.gamegos.mobile.cafeland
Rally Horizon,"4,4",0,3,30 Nisan 2026,"Yarış, Araba yarışı",https://play.google.com/store/apps/details?id=com.Graypow.RallyHorizon
Kelime Sörfü - Kelime Oyunu,"4,6",0,3,27 Şubat 2026,"Kelime, Arama, Basit",https://play.google.com/store/apps/details?id=com.marulgames.wordsurf
Manor Cafe: Eşleştirme Oyunu,"4,6",0,3,3 Mayıs 2026,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.gamegos.mobile.manorcafe
Bulmacahane - Kelime Oyunu,"4,7",0,3,4 Nisan 2026,"Kelime, Arama",https://play.google.com/store/apps/details?id=com.anloft.bulmacahane
hocus.,"4,6",0,3,6 Mart 2026,"Bulmaca, Mantık, Basit",https://play.google.com/store/apps/details?id=air.com.gamebrain.hocus
Words of Wonders: Search,"4,5",0,3,22 Ocak 2022,"Kelime, Arama",https://play.google.com/store/apps/details?id=com.fugo.wowsearch
Oddmar,"4,7",0,7,20 Mart 2026,"Aksiyon, Platform, Hack and slash, Basit",https://play.google.com/store/apps/details?id=com.mobge.Oddmar
Scritchy Scratchy,"4,4","249,00",18,30 Mart 2026,"Simülasyon, Tıklama",https://play.google.com/store/apps/details?id=com.fundaygames.scritchyscratchy
Sunken Stones,,0,7,,Strateji,https://play.google.com/store/apps/details?id=com.spritewrench.sunkenstones
Rumble Racer,,0,3,,Yarış,https://play.google.com/store/apps/details?id=com.blyts.rumblerace
Bubble Hero: The Five Elements,,"104,99",3,,Aksiyon,https://play.google.com/store/apps/details?id=com.DragonarkStudios.BubbleHero
Card Crawl 2,"3,8",0,3,6 Nisan 2026,Kart,https://play.google.com/store/apps/details?id=com.tinytouchales.crawlitaire
Nowhere Prophet,,0,12,,Rol yapma,https://play.google.com/store/apps/details?id=com.SharkbombStudios.NowhereProphet
Neon Fusion,,0,12,,Arcade,https://play.google.com/store/apps/details?id=com.cregongames.neonfusion
Iron Roads - Railroad Manager,,"264,99",3,,Simülasyon,https://play.google.com/store/apps/details?id=com.cowleyforniastudios.ironroads.android
