oyun_adi,puan,fiyat,yas_siniri,guncellenme_tarihi,indirilme_sayisi,tur_adi,URL
Brawl Stars,"4,2",0,7,20 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.supercell.brawlstars
PUBG MOBILE,"4,5",0,12,14 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.tencent.ig
eFootball™,"4,3",0,3,19 Mayıs 2026,,"Spor, Futbol",https://play.google.com/store/apps/details?id=jp.konami.pesam
EA SPORTS FC™ Mobile Futbol 26,"4,5",0,3,18 Mayıs 2026,,"Spor, Futbol",https://play.google.com/store/apps/details?id=com.ea.gp.fifamobile
Candy Crush Saga,"4,5",0,3,14 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Basit",https://play.google.com/store/apps/details?id=com.king.candycrushsaga
Toca Boca World,"4,3",0,3,3 Nisan 2026,,"Simülasyon, Yaşam",https://play.google.com/store/apps/details?id=com.tocaboca.tocalifeworld
101 Yüzbir Okey Plus,"4,4",0,12,7 Mayıs 2026,,"Masa, Soyut strateji, Basit",https://play.google.com/store/apps/details?id=net.peakgames.Yuzbir
Mobile Legends: Bang Bang,"4,0",0,12,21 Mayıs 2026,,"Strateji, MOBA",https://play.google.com/store/apps/details?id=com.mobile.legends
Free Fire: Su Altı Gizemi,"4,6",0,12,8 Nisan 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.dts.freefireth
Dream League Soccer 2026,"4,0",0,3,Dream League Soccer 2026,,"Spor, Futbol, Basit",https://play.google.com/store/apps/details?id=com.firsttouchgames.dls7
Kafa Topu 2 - Online Futbol,"4,5",0,3,5 Mayıs 2026,,"Spor, Futbol, Arcade",https://play.google.com/store/apps/details?id=com.masomo.headball2
8 Ball Pool,"4,7",0,3,3 Nisan 2026,,"Spor, Bilardo, Basit",https://play.google.com/store/apps/details?id=com.miniclip.eightballpool
Standoff 2,"4,7",0,12,1 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.axlebolt.standoff2
Clash of Clans,"4,5",0,7,17 Mayıs 2026,,"Strateji, Şehir kurma ve savaş, Basit",https://play.google.com/store/apps/details?id=com.supercell.clashofclans
Royal Match,"4,5",0,3,8 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.dreamgames.royalmatch
Township,"4,8",0,3,16 Mayıs 2026,,"Simülasyon, Yönetim, Çiftçilik, Basit",https://play.google.com/store/apps/details?id=com.playrix.township
Gardenscapes,"4,7",0,3,19 Mayıs 2026,,"Bulmaca, Üçlü Eşleme, Üçlü eşleştirme macerası, Basit",https://play.google.com/store/apps/details?id=com.playrix.gardenscapes
OSM 25/26 - Futbol oyunu,"4,7",0,3,29 Nisan 2026,,"Spor, Koçluk, Basit",https://play.google.com/store/apps/details?id=com.gamebasics.osm
Free Fire MAX,"4,6",0,12,8 Nisan 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.dts.freefiremax
Travel Town - Macera Birleşimi,"4,1",0,3,11 Mayıs 2026,,"Bulmaca, Birleştirme",https://play.google.com/store/apps/details?id=io.randomco.travel
Lords Mobile: Krallık Savaşı,"4,3",0,7,16 Mayıs 2026,,"Strateji, 4X",https://play.google.com/store/apps/details?id=com.igg.android.lordsmobile
Call of Duty®: Mobile,"4,1",0,16,3 Mayıs 2026,,"Aksiyon, Nişancı, Taktiğe dayalı nişancı",https://play.google.com/store/apps/details?id=com.activision.callofduty.shooter
